,Simple_PnL,Position_Factor,Compound_PnL_Rate,Compound_Net_Value,Drawdown,Max_Drawdown
20220713,0.5206969515882043,1.0,0.0065087118948525535,2.0196999054716613,0.0,0.09102342593912305
20220714,0.3220825223645962,1.0,0.004026031529557453,2.0278312809713346,0.0,0.09102342593912305
20220715,1.339859019579652,1.0,0.01674823774474565,2.0617938813712744,0.0,0.09102342593912305
20220718,-2.696277304745873,1.0,-0.03370346630932341,1.9923042807537086,0.033703466309323415,0.09102342593912305
20220719,0.3693686270721248,0.8,0.0036936862707212486,1.9996632277226278,0.030134270069384517,0.09102342593912305
20220720,-0.3486491529771139,0.8,-0.0034864915297711397,1.9926914188167781,0.03351569872180293,0.09102342593912305
20220721,0.8178311159876943,0.8,0.008178311159876944,2.0089882692854784,0.025611489374813612,0.09102342593912305
20220722,-0.6547218541557658,1.0,-0.008184023176947072,1.992546662727431,0.03358590752912105,0.09102342593912305
20220725,0.1966601570231125,0.8,0.001966601570231125,1.9964652081231096,0.031685356057374436,0.09102342593912305
20220726,-0.4842774921391191,0.8,-0.004842774921391191,1.9867967764817809,0.03637468593107562,0.09102342593912305
20220727,-0.2578296452876354,0.8,-0.002578296452876354,1.9816742254003918,0.038859197660241374,0.09102342593912305
20220728,-1.68991171751316,0.8,-0.0168991171751316,1.9481856804624125,0.05510162870078095,0.09102342593912305
20220729,-0.2940555881460453,0.5,-0.0018378474259127834,1.9446052124243745,0.05683820774022241,0.09102342593912305
20220801,0.6390387925092668,0.5,0.0039939924531829174,1.9523719509672175,0.05307122665980646,0.09102342593912305
20220802,0.1925044024479278,0.5,0.0012031525152995486,1.954720952190824,0.05193192692435267,0.09102342593912305
20220803,0.1869040653234416,0.5,0.00116815040827151,1.9570043602691825,0.050824440817720196,0.09102342593912305
20220804,0.2759906990958055,0.5,0.0017249418693487842,1.960380079028709,0.04918716815432411,0.09102342593912305
20220805,0.6886619463251332,0.8,0.006886619463251333,1.9738804706363182,0.04263928200062661,0.09102342593912305
20220808,-1.133985455784792,0.8,-0.011339854557847919,1.951496953184726,0.05349561330213637,0.09102342593912305
20220809,-0.0445493772913006,0.5,-0.00027843360807062876,1.9509535908469118,0.053759151933579385,0.09102342593912305
20220810,0.6590968186940162,0.5,0.004119355116837601,1.95899026150408,0.04986124985433604,0.09102342593912305
20220811,-0.5108544862199778,0.8,-0.005108544862199777,1.9489826718685739,0.05471507628476957,0.09102342593912305
20220812,-0.2501876330907239,0.5,-0.0015636727068170243,1.9459351008585137,0.05619319252014865,0.09102342593912305
20220815,-0.8418345427599887,0.5,-0.005261465892249929,1.9356966296968148,0.061158999846577244,0.09102342593912305
20220816,1.7241972834563275,0.5,0.010776233021602046,1.9565561476375575,0.05104183045868993,0.09102342593912305
20220817,-0.1907797791755246,0.5,-0.0011923736198470288,1.954223201701365,0.05217334314638933,0.09102342593912305
20220818,0.6488592673386474,0.5,0.0040553704208665465,1.962148300669316,0.04832955495807634,0.09102342593912305
20220819,-0.3102973010873447,0.8,-0.0031029730108734473,1.9560598074490076,0.051282562664287434,0.09102342593912305
20220822,-0.3450595508473086,0.5,-0.0021566221927956787,1.9518413254578275,0.053328587744337796,0.09102342593912305
20220823,-0.1947861085694524,0.5,-0.0012174131785590773,1.949465128105759,0.054481077997383,0.09102342593912305
20220824,-0.501308897791747,0.5,-0.0031331806111984193,1.9433571017641706,0.05744355955132274,0.09102342593912305
20220825,0.2877892232989642,0.5,0.0017986826456185263,1.9468525844573532,0.05574819963937183,0.09102342593912305
20220826,0.0105467970950838,0.5,6.591748184427375e-05,1.9469809160772427,0.05568595693846512,0.09102342593912305
20220829,-1.3648892303176738,0.5,-0.008530557689485461,1.9303720830523186,0.06374148235979282,0.09102342593912305
20220830,-0.1541261084829072,0.5,-0.00096328817801817,1.928512578445538,0.06464336912140445,0.09102342593912305
20220831,-0.4115387102690516,0.5,-0.002572116939181572,1.9235522185750935,0.06704921575586309,0.09102342593912305
20220901,-1.0244840081093294,0.5,-0.006403025050683308,1.9112356655332596,0.07302292299843294,0.09102342593912305
20220902,0.6499849041039819,0.5,0.004062405650649887,1.9189998801006456,0.06925716608279886,0.09102342593912305
20220905,-0.5645549968559966,0.5,-0.003528468730349979,1.9122287490301653,0.07254126306827291,0.09102342593912305
20220906,0.5675453377156763,0.5,0.0035471583607229766,1.9190117272249023,0.06925142005534002,0.09102342593912305
20220907,-0.2236579956091867,0.5,-0.001397862472557417,1.9163292127470168,0.07055247856663094,0.09102342593912305
20220908,-0.5317513040191276,0.5,-0.0033234456501195476,1.9099603967607157,0.07364144688875307,0.09102342593912305
20220909,0.3032428780533841,0.5,0.0018952679878336508,1.9135802835587263,0.07188574917778545,0.09102342593912305
20220913,-0.3999703556975981,0.5,-0.002499814723109988,1.9087966873920332,0.07420586284671893,0.09102342593912305
20220914,-0.0873149723914696,0.5,-0.000545718577446685,1.9077550215791548,0.07471108590625475,0.09102342593912305
20220915,-0.7113033533377052,0.5,-0.004445645958360658,1.8992738181779292,0.07882459282751153,0.09102342593912305
20220916,0.518172050768193,0.5,0.0032385753173012058,1.9054247594862765,0.07584129689093777,0.09102342593912305
20220919,-0.3654269702812602,0.5,-0.0022839185642578763,1.901072924505289,0.07795200010928915,0.09102342593912305
