,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20200706,8.846081487275326,-11.073925957385363,7.122730165176067,25.065026809422573,19.05549112758749,16.307917050362438,-9.441841809609912,0.0,18.842214218925296,26.568103374023824,10.84281025647673,0.22118960825051223,2.3435431453087636,-13.214979551834322,14.437390312752699
20200707,9.037726344049196,-11.95760007172525,8.260829588603393,25.01686748607707,19.737774567667564,17.475869423134224,-9.445314226346186,0.0,19.009958612817584,27.184906814548164,10.70946165228232,3.4896092090666944,5.175551013809188,-10.73791902818662,14.205973773585916
20200708,9.644937778140408,-12.658104078286886,9.236517546782222,25.080911279200436,20.288696894450517,18.585696748027747,-9.726462571658027,0.0,19.33722342998086,27.512119427895538,10.581101494111216,6.272992286238802,7.293247380766675,-8.714397736077379,13.996974367968628
20200709,10.023279937033685,-13.194122578461071,10.060536209828237,24.759767088346223,20.45738477219556,19.154255891916524,-9.870681051715914,0.0,19.603350285512427,27.840434090460217,10.571010634810897,8.552933256397138,9.052114372910534,-2.7041097747922676,13.886065429825333
20200710,10.47308499237696,-13.274194742212496,10.756193143542086,24.50004913070639,20.625232374709608,19.622258031844144,-10.290032146363767,0.0,19.80697420407782,28.106071192280087,10.445377813718396,10.442286032432191,10.548241974384672,2.2011505899027672,13.80657899465904
20200713,10.848466991694938,-13.324517966743986,11.364908677622461,24.318442243266244,20.73600481818701,19.94100528455441,-10.48582528008623,0.0,19.681683128503476,27.991145420171456,10.292696514190995,11.656513946262754,11.859036804991078,6.45439912948968,13.729733473071288
20200714,11.14214736852203,-13.418906149036992,11.934483107838558,24.11880746026306,20.786994605702017,20.204972345868867,-10.699835990100922,0.0,19.683723190557572,27.396566053817605,10.095763620738323,12.783588439419173,12.925700400683434,5.195573808790929,13.648700127063547
20200715,11.410012181103015,-13.557484497498606,12.705016965170504,24.17028601961082,21.051444885419908,20.449641602019824,-10.950651364398055,0.0,19.85747005879941,26.98169319368807,9.967065829120633,13.970028444429964,13.881810690431786,-0.321531627759303,13.720339547666216
20200716,11.58199272985648,-13.518708387303537,13.46854324640724,24.180334538767767,21.170177758853864,20.673712752577668,-11.134152337187754,0.0,20.140061891909944,26.554276912598358,9.95844951006962,14.795993961420521,14.780698787032227,-0.17613666267482692,13.854935451592487
20200717,11.700625593564123,-13.5046693380146,14.007222237923617,24.215533473371362,21.265901936924077,20.924476320670426,-11.362415719239726,0.0,20.491612885607616,24.9549514014281,9.884614672171477,15.482224765982087,15.30113004318016,-4.815543690047666,13.692048941703765
20200720,11.772499200590335,-13.338939338124703,14.397559143068765,23.93793153320573,21.358308195116532,20.48238847062651,-11.770069307805766,0.0,20.740092157548208,23.05602978368932,9.809036236405136,15.591996529489286,15.68652013810507,-8.505882767955132,13.50396440788662
